"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SAMD12.10",1.59066987086609e-06,-0.996196278546166,0.748,0.553,0.00318133974173217,"17","SAMD12"
"FCRL5.10",1.67635084124675e-06,-0.0568944385647016,0.012,0.128,0.0033527016824935,"17","FCRL5"
"AC244502.1.10",1.74025455067562e-06,-0.220516938965766,0.495,0.5,0.00348050910135125,"17","AC244502.1"
"LINC02315.10",1.75563726944488e-06,-0.225443922359507,0.733,0.636,0.00351127453888977,"17","LINC02315"
"AC023590.1.10",1.77834068841213e-06,-0.379328900945259,0.715,0.514,0.00355668137682426,"17","AC023590.1"
"ADAP2.10",2.08292611413597e-06,0.530655176119664,0.54,0.505,0.00416585222827195,"17","ADAP2"
"LINC01748.10",2.1200368732576e-06,-0.0665923482776217,0.064,0.145,0.00424007374651521,"17","LINC01748"
"PDGFD.10",2.12404509758304e-06,-1.18933428292206,0.783,0.68,0.00424809019516608,"17","PDGFD"
"TNR.10",2.37379951222725e-06,-0.0599716256205616,0.62,0.398,0.0047475990244545,"17","TNR"
"SCHLAP1.10",3.16752058774104e-06,-0.000974279997305379,0.293,0.336,0.00633504117548208,"17","SCHLAP1"
"ATP8B4.10",3.31949739866112e-06,-0.298650077473937,0.403,0.481,0.00663899479732224,"17","ATP8B4"
"AC113167.1.10",3.53490391408454e-06,0.0434266866442397,0.339,0.184,0.00706980782816908,"17","AC113167.1"
"AC106793.1.10",4.09847061811118e-06,-0.0574201737073138,0.335,0.409,0.00819694123622237,"17","AC106793.1"
"GPC4.10",4.15640212167447e-06,-0.117964013836942,0.432,0.554,0.00831280424334894,"17","GPC4"
"BIRC3.10",4.34452898074554e-06,-0.332736728418911,0.66,0.508,0.00868905796149108,"17","BIRC3"
"PRSS23.10",4.59623971329233e-06,-0.0125904687355469,0.549,0.711,0.00919247942658466,"17","PRSS23"
"LYPD6.10",4.67324022837869e-06,-0.328438114636074,0.788,0.672,0.00934648045675738,"17","LYPD6"
"CACNB2.10",4.78243307125631e-06,0.2648023665553,0.627,0.571,0.00956486614251262,"17","CACNB2"
"MYOC.10",5.46523130062567e-06,-0.0514431609603796,0.352,0.338,0.0109304626012513,"17","MYOC"
"ABCA9-AS1.10",5.95945099612025e-06,-0.141308108284049,0.342,0.4,0.0119189019922405,"17","ABCA9-AS1"
"CLSTN2.10",6.02501743019223e-06,0.36524922259144,0.462,0.58,0.0120500348603845,"17","CLSTN2"
"PTGS2.10",6.09734598250302e-06,-0.0488984201870556,0.16,0.262,0.012194691965006,"17","PTGS2"
"HTR7.10",6.19594173503011e-06,-0.074816367015844,0.589,0.373,0.0123918834700602,"17","HTR7"
"PZP.10",6.36140153855735e-06,-0.10466693011987,0.181,0.289,0.0127228030771147,"17","PZP"
"MIR4300HG.10",6.49333919150131e-06,0.0167692557155746,0.227,0.373,0.0129866783830026,"17","MIR4300HG"
"AJ009632.2.10",7.16424494436177e-06,-0.0838837829902064,0.543,0.342,0.0143284898887235,"17","AJ009632.2"
"RPL7A.10",7.58127999872097e-06,-0.132785275017465,0.382,0.4,0.0151625599974419,"17","RPL7A"
"GALNT18.10",7.93930296421098e-06,-0.758611037910876,0.757,0.685,0.015878605928422,"17","GALNT18"
"ADGRD1.10",8.39489018625751e-06,-0.953224643369109,0.729,0.698,0.016789780372515,"17","ADGRD1"
"GRIA2.10",8.52957863052619e-06,-0.012205719399985,0.016,0.154,0.0170591572610524,"17","GRIA2"
"AC099788.1.10",9.20092423046466e-06,-0.0603339084181179,0.219,0.349,0.0184018484609293,"17","AC099788.1"
"KCNH5.10",1.00113525598131e-05,-0.27534645065231,0.332,0.429,0.0200227051196263,"17","KCNH5"
"BRIP1.10",1.01043921918794e-05,-0.0388672555680775,0.63,0.567,0.0202087843837587,"17","BRIP1"
"UVRAG-DT.10",1.03891352914214e-05,-0.0205276574640277,0.21,0.248,0.0207782705828429,"17","UVRAG-DT"
"PLXNA4.10",1.07121586050827e-05,-1.01153513155335,0.807,0.776,0.0214243172101654,"17","PLXNA4"
"GRM7.10",1.31412966837138e-05,-0.24300036876305,0.727,0.526,0.0262825933674275,"17","GRM7"
"CD163.10",1.34197003893577e-05,-0.700182429201064,0.677,0.518,0.0268394007787155,"17","CD163"
