Process name,Associated cell type,Associated cell type,Associated cell types,Associated cell types
positive regulation of oocyte development,oocyte,,,
oocyte growth,oocyte,,,
oocyte differentiation,oocyte,,,
negative regulation of oocyte development,oocyte,,,
positive regulation of oocyte maturation,oocyte,,,
regulation of meiotic cell cycle process involved in oocyte maturation,oocyte,,,
negative regulation of oocyte maturation,oocyte,,,
positive regulation of osteoblast differentiation,osteoblast,,,
osteoblast differentiation,osteoblast,,,
osteoblast development,osteoblast,,,
negative regulation of osteoblast proliferation,osteoblast,,,
negative regulation of osteoblast differentiation,osteoblast,,,
negative regulation of canonical wnt signaling pathway involved in osteoblast differentiation,osteoblast,,,
positive regulation of canonical wnt signaling pathway involved in osteoblast differentiation,osteoblast,,,
regulation of osteoblast differentiation,osteoblast,,,
regulation of osteoblast proliferation,osteoblast,,,
osteoblast proliferation,osteoblast,,,
positive regulation of osteoblast proliferation,osteoblast,,,
canonical wnt signaling pathway involved in osteoblast differentiation,osteoblast,,,
osteoblast fate commitment,osteoblast,,,
positive regulation of osteoclast differentiation,osteoclast,,,
regulation of osteoclast development,osteoclast,,,
negative regulation of osteoclast differentiation,osteoclast,,,
regulation of osteoclast differentiation,osteoclast,,,
osteoclast differentiation,osteoclast,,,
osteoclast fusion,osteoclast,,,
positive regulation of osteoclast proliferation,osteoclast,,,
osteoclast proliferation,osteoclast,,,
osteoclast development,osteoclast,,,
positive regulation of osteoclast development,osteoclast,,,
negative regulation of osteoclast proliferation,osteoclast,,,
negative regulation of osteoclast development,osteoclast,,,
multinuclear osteoclast differentiation,osteoclast,,,
osteoclast maturation,osteoclast,,,
positive regulation of canonical wnt signaling pathway involved in controlling type b pancreatic cell proliferation,pancreatic cell,,,
type b pancreatic cell apoptotic process,pancreatic cell,,,
negative regulation of type b pancreatic cell apoptotic process,pancreatic cell,,,
regulation of type b pancreatic cell development,pancreatic cell,,,
type b pancreatic cell proliferation,pancreatic cell,,,
type b pancreatic cell differentiation,pancreatic cell,,,
positive regulation of type b pancreatic cell development,pancreatic cell,,,
regulation of type b pancreatic cell proliferation,pancreatic cell,,,
type b pancreatic cell development,pancreatic cell,,,
positive regulation of type b pancreatic cell apoptotic process,pancreatic cell,,,
negative regulation of type b pancreatic cell proliferation,pancreatic cell,,,
negative regulation of type b pancreatic cell development,pancreatic cell,,,
positive regulation of type b pancreatic cell proliferation,pancreatic cell,,,
type b pancreatic cell fate commitment,pancreatic cell,,,
type b pancreatic cell maturation,pancreatic cell,,,
negative regulation of canonical wnt signaling pathway involved in controlling type b pancreatic cell proliferation,pancreatic cell,,,
pericyte cell differentiation,pericyte ,,,
photoreceptor cell outer segment organization,photoreceptor ,,,
eye photoreceptor cell development,photoreceptor ,,,
photoreceptor cell maintenance,photoreceptor ,,,
photoreceptor cell morphogenesis,photoreceptor ,,,
photoreceptor cell development,photoreceptor ,,,
protein localization to photoreceptor outer segment,photoreceptor ,,,
negative regulation of photoreceptor cell differentiation,photoreceptor ,,,
camera-type eye photoreceptor cell differentiation,photoreceptor ,,,
protein localization to photoreceptor connecting cilium,photoreceptor ,,,
negative regulation of eye photoreceptor cell development,photoreceptor ,,,
eye photoreceptor cell differentiation,photoreceptor ,,,
camera-type eye photoreceptor cell fate commitment,photoreceptor ,,,
retinal pigment epithelium development,pigment ,retinal ,,
pigment granule localization,pigment ,,,
pigment granule transport,pigment ,,,
eye pigment biosynthetic process,pigment ,,,
pigment granule maturation,pigment ,,,
pigment cell differentiation,pigment ,,,
positive regulation of pigment cell differentiation,pigment ,,,
pigment granule organization,pigment ,,,
pigment granule aggregation in cell center,pigment ,,,
cellular pigment accumulation,pigment ,,,
eye pigment granule organization,pigment ,,,
plasma cell differentiation,plasma cell,,,
positive regulation of plasma cell differentiation,plasma cell,,,
platelet-derived growth factor receptor signaling pathway,platelet,,,
platelet degranulation,platelet,,,
positive regulation of platelet aggregation,platelet,,,
platelet activation,platelet,,,
regulation of platelet activation,platelet,,,
serotonin secretion by platelet,platelet,,,
positive regulation of platelet activation,platelet,,,
positive regulation of platelet-derived growth factor production,platelet,,,
platelet activating factor biosynthetic process,platelet,,,
platelet aggregation,platelet,,,
regulation of platelet aggregation,platelet,,,
negative regulation of platelet aggregation,platelet,,,
platelet dense granule organization,platelet,,,
negative regulation of platelet activation,platelet,,,
negative regulation of platelet-derived growth factor receptor signaling pathway,platelet,,,
cellular response to platelet-derived growth factor stimulus,platelet,,,
regulation of platelet-derived growth factor receptor-alpha signaling pathway,platelet,,,
platelet formation,platelet,,,
phosphatidylserine exposure on blood platelet,platelet,,,
platelet alpha granule organization,platelet,,,
negative regulation of platelet-derived growth factor receptor-beta signaling pathway,platelet,,,
positive regulation of platelet-derived growth factor receptor-beta signaling pathway,platelet,,,
positive regulation of platelet-derived growth factor receptor signaling pathway,platelet,,,
regulation of platelet-derived growth factor production,platelet,,,
platelet morphogenesis,platelet,,,
platelet activating factor metabolic process,platelet,,,
platelet maturation,platelet,,,
regulation of platelet-derived growth factor receptor signaling pathway,platelet,,,
protein secretion by platelet,platelet,,,
platelet-derived growth factor receptor-beta signaling pathway,platelet,,,
negative regulation of platelet-derived growth factor receptor-alpha signaling pathway,platelet,,,
positive regulation of cell proliferation by vegf-activated platelet derived growth factor receptor signaling pathway,platelet,,,
platelet-derived growth factor receptor-alpha signaling pathway,platelet,,,
response to platelet-derived growth factor,platelet,,,
regulation of platelet-derived growth factor receptor-beta signaling pathway,platelet,,,
positive regulation of platelet formation,platelet,,,
type ii pneumocyte differentiation,pneumocyte,,,
type i pneumocyte differentiation,pneumocyte,,,
pulmonary valve morphogenesis,pulmonary,,,
pulmonary valve formation,pulmonary,,,
pulmonary valve development,pulmonary,,,
positive regulation of pulmonary blood vessel remodeling,pulmonary,,,
pulmonary artery morphogenesis,pulmonary,,,
pulmonary myocardium development,pulmonary,,,
pulmonary vein morphogenesis,pulmonary,,,
bundle of his cell to purkinje myocyte communication by electrical coupling,purkinje,,,
regulation of purkinje myocyte action potential,purkinje,,,
cerebellar purkinje cell layer structural organization,purkinje,,,
bundle of his cell-purkinje myocyte adhesion involved in cell communication,purkinje,,,
cerebellar purkinje cell differentiation,purkinje,,,
cerebellar purkinje cell layer morphogenesis,purkinje,,,
cerebellar purkinje cell layer maturation,purkinje,,,
cerebellar purkinje cell layer development,purkinje,,,
cerebellar purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation,purkinje,,,
radial glia guided migration of purkinje cell,purkinje,,,
purkinje myocyte development,purkinje,,,
membrane depolarization during purkinje myocyte cell action potential,purkinje,,,
purkinje myocyte differentiation,purkinje,,,
cerebellar purkinje cell layer formation,purkinje,,,
bundle of his cell to purkinje myocyte communication,purkinje,,,
retinal cell programmed cell death,retinal ,,,
retinal metabolic process,retinal ,,,
retinal cone cell development,retinal ,,,
regulation of retinal cell programmed cell death,retinal ,,,
retinal blood vessel morphogenesis,retinal ,,,
retinal rod cell development,retinal ,,,
retinal cone cell apoptotic process,retinal ,,,
retinal rod cell differentiation,retinal ,,,
negative regulation of retinal cell programmed cell death,retinal ,,,
retinal rod cell apoptotic process,retinal ,,,
establishment of blood-retinal barrier,retinal ,,,
retinal cell apoptotic process,retinal ,,,
salivary gland morphogenesis,salivary gland,,,
dichotomous subdivision of terminal units involved in salivary gland branching,salivary gland,,,
branching involved in salivary gland morphogenesis,salivary gland,,,
branch elongation involved in salivary gland morphogenesis,salivary gland,,,
regulation of branching involved in salivary gland morphogenesis,salivary gland,,,
salivary gland cavitation,salivary gland,,,
salivary gland development,salivary gland,,,
cell differentiation involved in salivary gland development,salivary gland,,,
submandibular salivary gland formation,salivary gland,,,
regulation of skeletal muscle satellite cell proliferation,satellite ,skeletal muscle ,,
regulation of satellite cell activation involved in skeletal muscle regeneration,satellite ,skeletal muscle ,,
skeletal muscle satellite cell differentiation,satellite ,skeletal muscle ,,
skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,satellite ,skeletal muscle ,,
satellite cell activation involved in skeletal muscle regeneration,satellite ,skeletal muscle ,,
negative regulation of satellite cell differentiation,satellite ,,,
positive regulation of satellite cell activation involved in skeletal muscle regeneration,satellite ,skeletal muscle ,,
positive regulation of growth factor dependent skeletal muscle satellite cell proliferation,satellite ,skeletal muscle ,,
negative regulation of skeletal muscle satellite cell proliferation,satellite ,skeletal muscle ,,
skeletal muscle satellite cell activation,satellite ,skeletal muscle ,,
skeletal muscle satellite cell migration,satellite ,skeletal muscle ,,
growth factor dependent regulation of skeletal muscle satellite cell proliferation,satellite ,skeletal muscle ,,
skeletal muscle satellite cell proliferation,satellite ,skeletal muscle ,,
skeletal muscle satellite cell commitment,satellite ,skeletal muscle ,,
negative regulation of schwann cell migration,schwann ,,,
negative regulation of schwann cell proliferation involved in axon regeneration,schwann ,,,
regulation of schwann cell differentiation,schwann ,,,
schwann cell differentiation,schwann ,,,
positive regulation of schwann cell differentiation,schwann ,,,
negative regulation of schwann cell proliferation,schwann ,,,
schwann cell development,schwann ,,,
positive regulation of schwann cell migration,schwann ,,,
schwann cell proliferation,schwann ,,,
positive regulation of schwann cell proliferation,schwann ,,,
positive regulation of schwann cell chemotaxis,schwann ,,,
positive regulation of schwann cell proliferation involved in axon regeneration,schwann ,,,
lung secretory cell differentiation,secretory cell,,,
myotube differentiation involved in skeletal muscle regeneration,skeletal muscle ,,,
skeletal muscle cell differentiation,skeletal muscle ,,,
skeletal muscle tissue development,skeletal muscle ,,,
regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,skeletal muscle ,,,
skeletal muscle contraction,skeletal muscle ,,,
skeletal muscle hypertrophy,skeletal muscle ,,,
positive regulation of skeletal muscle fiber development,skeletal muscle ,,,
skeletal muscle atrophy,skeletal muscle ,,,
skeletal muscle tissue regeneration,skeletal muscle ,,,
skeletal muscle fiber development,skeletal muscle ,,,
skeletal muscle thin filament assembly,skeletal muscle ,,,
positive regulation of skeletal muscle tissue development,skeletal muscle ,,,
skeletal muscle fiber adaptation,skeletal muscle ,,,
negative regulation of skeletal muscle tissue regeneration,skeletal muscle ,,,
regulation of skeletal muscle adaptation,skeletal muscle ,,,
negative regulation of skeletal muscle tissue growth,skeletal muscle ,,,
positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,skeletal muscle ,,,
positive regulation of skeletal muscle cell differentiation,skeletal muscle ,,,
positive regulation of skeletal muscle tissue regeneration,skeletal muscle ,,,
skeletal muscle acetylcholine-gated channel clustering,skeletal muscle ,,,
positive regulation of skeletal muscle acetylcholine-gated channel clustering,skeletal muscle ,,,
regulation of the force of skeletal muscle contraction,skeletal muscle ,,,
positive regulation of fast-twitch skeletal muscle fiber contraction,skeletal muscle ,,,
positive regulation of skeletal muscle tissue growth,skeletal muscle ,,,
regulation of skeletal muscle contraction,skeletal muscle ,,,
negative regulation of skeletal muscle tissue development,skeletal muscle ,,,
regulation of skeletal muscle tissue development,skeletal muscle ,,,
regulation of skeletal muscle fiber development,skeletal muscle ,,,
involuntary skeletal muscle contraction,skeletal muscle ,,,
regulation of slow-twitch skeletal muscle fiber contraction,skeletal muscle ,,,
regulation of skeletal muscle cell proliferation,skeletal muscle ,,,
regulation of skeletal muscle cell differentiation,skeletal muscle ,,,
skeletal muscle fiber differentiation,skeletal muscle ,,,
fast-twitch skeletal muscle fiber contraction,skeletal muscle ,,,
skeletal muscle myosin thick filament assembly,skeletal muscle ,,,
negative regulation of skeletal muscle cell differentiation,skeletal muscle ,,,
regulation of skeletal muscle contraction by action potential,skeletal muscle ,,,
regulation of skeletal muscle contraction via regulation of action potential,skeletal muscle ,,,
extraocular skeletal muscle development,skeletal muscle ,,,
regulation of skeletal muscle contraction by calcium ion signaling,skeletal muscle ,,,
regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction,skeletal muscle ,,,
slow-twitch skeletal muscle fiber contraction,skeletal muscle ,,,
skeletal muscle tissue growth,skeletal muscle ,,,
negative regulation of skeletal muscle hypertrophy,skeletal muscle ,,,
regulation of skeletal muscle acetylcholine-gated channel clustering,skeletal muscle ,,,
skeletal muscle organ development,skeletal muscle ,,,
regulation of skeletal muscle fiber differentiation,skeletal muscle ,,,
branchiomeric skeletal muscle development,skeletal muscle ,,,
positive regulation of skeletal muscle fiber differentiation,skeletal muscle ,,,
regulation of skeletal muscle tissue growth,skeletal muscle ,,,
negative regulation of skeletal muscle acetylcholine-gated channel clustering,skeletal muscle ,,,
positive regulation of skeletal muscle cell proliferation,skeletal muscle ,,,
regulation of skeletal muscle tissue regeneration,skeletal muscle ,,,
positive regulation of skeletal muscle hypertrophy,skeletal muscle ,,,
positive regulation of smooth muscle cell migration,smooth muscle ,,,
negative regulation of smooth muscle cell proliferation,smooth muscle ,,,
positive regulation of smooth muscle cell proliferation,smooth muscle ,,,
smooth muscle contraction,smooth muscle ,,,
positive regulation of vascular smooth muscle cell proliferation,smooth muscle ,,,
regulation of smooth muscle contraction,smooth muscle ,,,
negative regulation of vascular smooth muscle cell proliferation,smooth muscle ,,,
negative regulation of vascular associated smooth muscle cell migration,smooth muscle ,,,
positive regulation of vascular smooth muscle cell dedifferentiation,smooth muscle ,,,
smooth muscle cell migration,smooth muscle ,,,
negative regulation of smooth muscle contraction,smooth muscle ,,,
positive regulation of smooth muscle contraction,smooth muscle ,,,
urinary bladder smooth muscle contraction,smooth muscle ,,,
positive regulation of vascular associated smooth muscle cell migration,smooth muscle ,,,
aorta smooth muscle tissue morphogenesis,smooth muscle ,,,
artery smooth muscle contraction,smooth muscle ,,,
smooth muscle cell proliferation,smooth muscle ,,,
uterine smooth muscle contraction,smooth muscle ,,,
regulation of vascular smooth muscle contraction,smooth muscle ,,,
positive regulation of vascular smooth muscle contraction,smooth muscle ,,,
smooth muscle tissue development,smooth muscle ,,,
positive regulation of transcription from rna polymerase ii promoter involved in smooth muscle cell differentiation,smooth muscle ,,,
regulation of smooth muscle cell differentiation,smooth muscle ,,,
vascular smooth muscle cell differentiation,smooth muscle ,,,
regulation of smooth muscle cell apoptotic process,smooth muscle ,,,
positive regulation of smooth muscle cell differentiation,smooth muscle ,,,
intestine smooth muscle contraction,smooth muscle ,,,
regulation of uterine smooth muscle contraction,smooth muscle ,,,
positive regulation of uterine smooth muscle contraction,smooth muscle ,,,
regulation of smooth muscle cell migration,smooth muscle ,,,
regulation of smooth muscle cell-matrix adhesion,smooth muscle ,,,
smooth muscle contraction involved in micturition,smooth muscle ,,,
negative regulation of smooth muscle cell migration,smooth muscle ,,,
vascular smooth muscle contraction,smooth muscle ,,,
negative regulation of vascular smooth muscle cell differentiation,smooth muscle ,,,
positive regulation of vascular associated smooth muscle cell apoptotic process,smooth muscle ,,,
positive regulation of smooth muscle cell apoptotic process,smooth muscle ,,,
regulation of smooth muscle cell proliferation,smooth muscle ,,,
negative regulation of vascular associated smooth muscle cell apoptotic process,smooth muscle ,,,
vascular smooth muscle cell development,smooth muscle ,,,
smooth muscle cell chemotaxis,smooth muscle ,,,
positive regulation of uterine smooth muscle relaxation,smooth muscle ,,,
positive regulation of smooth muscle cell chemotaxis,smooth muscle ,,,
negative regulation of smooth muscle cell chemotaxis,smooth muscle ,,,
negative regulation of vascular smooth muscle contraction,smooth muscle ,,,
positive regulation of vascular smooth muscle cell differentiation,smooth muscle ,,,
negative regulation of smooth muscle cell apoptotic process,smooth muscle ,,,
positive regulation of gastro-intestinal system smooth muscle contraction,smooth muscle ,,,
smooth muscle cell differentiation,smooth muscle ,,,
negative regulation of vascular smooth muscle cell differentiation involved in phenotypic switching,smooth muscle ,,,
enteric smooth muscle cell differentiation,smooth muscle ,,,
vein smooth muscle contraction,smooth muscle ,,,
positive regulation of smooth muscle hypertrophy,smooth muscle ,,,
positive regulation of vascular smooth muscle cell differentiation involved in phenotypic switching,smooth muscle ,,,
ureter smooth muscle cell differentiation,smooth muscle ,,,
negative regulation of smooth muscle cell differentiation,smooth muscle ,,,
cardiac vascular smooth muscle cell differentiation,smooth muscle ,,,
smooth muscle hypertrophy,smooth muscle ,,,
positive regulation of cardiac vascular smooth muscle cell differentiation,smooth muscle ,,,
smooth muscle cell-matrix adhesion,smooth muscle ,,,
negative regulation of aortic smooth muscle cell differentiation,smooth muscle ,,,
lung smooth muscle development,smooth muscle ,,,
regulation of vascular smooth muscle cell dedifferentiation,smooth muscle ,,,
positive regulation of regulation of vascular smooth muscle cell membrane depolarization,smooth muscle ,,,
smooth muscle adaptation,smooth muscle ,,,
esophagus smooth muscle contraction,smooth muscle ,,,
smooth muscle hyperplasia,smooth muscle ,,,
positive regulation of small intestine smooth muscle contraction,smooth muscle ,,,
tonic smooth muscle contraction,smooth muscle ,,,
negative regulation of smooth muscle cell-matrix adhesion,smooth muscle ,,,
negative regulation of uterine smooth muscle contraction,smooth muscle ,,,
positive regulation of pyloric antrum smooth muscle contraction,smooth muscle ,,,
positive regulation of colon smooth muscle contraction,smooth muscle ,,,
positive regulation of stomach fundus smooth muscle contraction,smooth muscle ,,,
negative regulation of vascular smooth muscle cell dedifferentiation,smooth muscle ,,,
cardiac vascular smooth muscle cell development,smooth muscle ,,,
negative regulation of cardiac vascular smooth muscle cell differentiation,smooth muscle ,,,
negative regulation of transcription from rna polymerase ii promoter involved in smooth muscle cell differentiation,smooth muscle ,,,
negative regulation of ureter smooth muscle cell differentiation,smooth muscle ,,,
positive regulation of ureter smooth muscle cell differentiation,smooth muscle ,,,
negative regulation of kidney smooth muscle cell differentiation,smooth muscle ,,,
positive regulation of kidney smooth muscle cell differentiation,smooth muscle ,,,
positive regulation of aortic smooth muscle cell differentiation,smooth muscle ,,,
binding of sperm to zona pellucida,sperm,,,
spermatogenesis,sperm,,,
flagellated sperm motility,sperm,,,
spermatid development,sperm,,,
spermatid nucleus differentiation,sperm,,,
fusion of sperm to egg plasma membrane involved in single fertilization,sperm,,,
negative regulation of binding of sperm to zona pellucida,sperm,,,
positive regulation of flagellated sperm motility,sperm,,,
sperm axoneme assembly,sperm,,,
spermine metabolic process,sperm,,,
spermidine catabolic process,sperm,,,
spermine catabolic process,sperm,,,
positive regulation of spermidine biosynthetic process,sperm,,,
sperm capacitation,sperm,,,
sperm-egg recognition,sperm,,,
spermatid differentiation,sperm,,,
spermatid nucleus elongation,sperm,,,
sperm chromatin condensation,sperm,,,
sperm ejaculation,sperm,,,
spermatogenesis_ exchange of chromosomal proteins,sperm,,,
sperm displacement,sperm,,,
regulation of flagellated sperm motility,sperm,,,
sperm entry,sperm,,,
regulation of fusion of sperm to egg plasma membrane,sperm,,,
prevention of polyspermy,sperm,,,
sperm individualization,sperm,,,
spermidine acetylation,sperm,,,
spermine acetylation,sperm,,,
nor-spermidine metabolic process,sperm,,,
spermatogonial cell division,sperm,,,
spermidine metabolic process,sperm,,,
sperm mitochondrion organization,sperm,,,
negative regulation of flagellated sperm motility,sperm,,,
spermidine deacetylation,sperm,,,
spermatocyte division,sperm,,,
positive regulation of flagellated sperm motility involved in capacitation,sperm,,,
regulation of transcription from rna polymerase ii promoter involved in spermatogenesis,sperm,,,
spermine transport,sperm,,,
regulation of sperm capacitation,sperm,,,
spermine biosynthetic process,sperm,,,
spermidine biosynthetic process,sperm,,,
negative regulation of sperm capacitation,sperm,,,
regulation of binding of sperm to zona pellucida,sperm,,,
spermine transmembrane transport,sperm,,,
negative regulation of hepatic stellate cell migration,stellate ,,,
negative regulation of hepatic stellate cell activation,stellate ,,,
negative regulation of pancreatic stellate cell proliferation,stellate ,,,
positive regulation of pancreatic stellate cell proliferation,stellate ,,,
positive regulation of hepatic stellate cell activation,stellate ,,,
positive regulation of hepatic stellate cell proliferation,stellate ,,,
hepatic stellate cell activation,stellate ,,,
positive regulation of hepatic stellate cell migration,stellate ,,,
stem cell population maintenance,stem cell,,,
somatic stem cell population maintenance,stem cell,,,
stem cell proliferation,stem cell,,,
somatic stem cell division,stem cell,,,
stem cell development,stem cell,,,
positive regulation of stem cell proliferation,stem cell,,,
stem cell differentiation,stem cell,,,
regulation of somatic stem cell population maintenance,stem cell,,,
negative regulation of stem cell differentiation,stem cell,,,
regulation of stem cell population maintenance,stem cell,,,
stem cell division,stem cell,,,
intestinal stem cell homeostasis,stem cell,,,
negative regulation of stem cell proliferation,stem cell,,,
regulation of stem cell division,stem cell,,,
regulation of stem cell proliferation,stem cell,,,
positive regulation of stem cell population maintenance,stem cell,,,
male germ-line stem cell asymmetric division,stem cell,,,
positive regulation of stem cell differentiation,stem cell,,,
regulation of stem cell differentiation,stem cell,,,
canonical wnt signaling pathway involved in stem cell proliferation,stem cell,,,
negative regulation of stem cell population maintenance,stem cell,,,
germ-line stem cell population maintenance,stem cell,,,
positive regulation of somatic stem cell population maintenance,stem cell,,,
positive regulation of somatic stem cell division,stem cell,,,
positive regulation of mammary stem cell proliferation,stem cell,,,
stem cell fate specification,stem cell,,,
negative regulation of amniotic stem cell differentiation,stem cell,,,
epidermal stem cell homeostasis,stem cell,,,
negative regulation of somatic stem cell population maintenance,stem cell,,,
negative regulation of somatic stem cell division,stem cell,,,
prostate gland stromal morphogenesis,stromal ,,,
tendon cell differentiation,tendon cell,,,
positive regulation of tendon cell differentiation,tendon cell,,,
negative regulation of thymocyte apoptotic process,thymocyte,,,
positive regulation of thymocyte migration,thymocyte,,,
dn2 thymocyte differentiation,thymocyte,,,
positive regulation of thymocyte apoptotic process,thymocyte,,,
positive regulation of fibronectin-dependent thymocyte migration,thymocyte,,,
regulation of thymocyte apoptotic process,thymocyte,,,
thymocyte apoptotic process,thymocyte,,,
thymocyte migration,thymocyte,,,
regulation of thymocyte migration,thymocyte,,,
dn3 thymocyte differentiation,thymocyte,,,
trophoblast giant cell differentiation,trophoblast giant ,,,
branching involved in ureteric bud morphogenesis,ureteric bud ,,,
positive regulation of branching involved in ureteric bud morphogenesis,ureteric bud ,,,
ureteric bud invasion,ureteric bud ,,,
ureteric bud formation,ureteric bud ,,,
positive regulation of ureteric bud formation,ureteric bud ,,,
ureteric bud development,ureteric bud ,,,
primary ureteric bud growth,ureteric bud ,,,
ureteric bud morphogenesis,ureteric bud ,,,
negative regulation of branching involved in ureteric bud morphogenesis,ureteric bud ,,,
negative regulation of branch elongation involved in ureteric bud branching by bmp signaling pathway,ureteric bud ,,,
specification of ureteric bud anterior/posterior symmetry by bmp signaling pathway,ureteric bud ,,,
regulation of branch elongation involved in ureteric bud branching,ureteric bud ,,,
ureteric bud elongation,ureteric bud ,,,
regulation of branching involved in ureteric bud morphogenesis,ureteric bud ,,,
dichotomous subdivision of terminal units involved in ureteric bud branching,ureteric bud ,,,
branch elongation involved in ureteric bud branching,ureteric bud ,,,
urothelial cell proliferation,urothelial,,,
positive regulation of urothelial cell proliferation,urothelial,,,
