Process name,Associated cell type,Associated cell type,Associated cell types,Associated cell types
membrane repolarization during ventricular cardiac muscle cell action potential,cardiac muscle ,,,
atrial cardiac muscle cell action potential,cardiac muscle ,,,
membrane repolarization during atrial cardiac muscle cell action potential,cardiac muscle ,,,
negative regulation of membrane repolarization during ventricular cardiac muscle cell action potential,cardiac muscle ,,,
cardiac muscle tissue regeneration,cardiac muscle ,,,
cardiac muscle cell action potential involved in contraction,cardiac muscle ,,,
ventricular cardiac muscle cell membrane repolarization,cardiac muscle ,,,
negative regulation of cardiac muscle tissue regeneration,cardiac muscle ,,,
negative regulation of cardiac muscle cell myoblast differentiation,cardiac muscle ,myoblast,,
positive regulation of cardiac muscle tissue development,cardiac muscle ,,,
regulation of cardiac muscle cell membrane potential,cardiac muscle ,,,
regulation of cardiac muscle cell action potential involved in regulation of contraction,cardiac muscle ,,,
ventricular cardiac muscle tissue development,cardiac muscle ,,,
regulation of canonical wnt signaling pathway involved in cardiac muscle cell fate commitment,cardiac muscle ,,,
cardiac muscle fiber development,cardiac muscle ,,,
positive regulation of cardiac muscle fiber development,cardiac muscle ,,,
adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation,cardiac muscle ,,,
negative regulation of cardiac muscle myoblast proliferation,cardiac muscle ,myoblast,,
positive regulation of cardiac muscle myoblast proliferation,cardiac muscle ,myoblast,,
positive regulation of cardiac muscle cell contraction,cardiac muscle ,,,
negative regulation of membrane repolarization during atrial cardiac muscle cell action potential,cardiac muscle ,,,
cardiac muscle tissue growth involved in heart morphogenesis,cardiac muscle ,,,
ventricular cardiac muscle cell differentiation,cardiac muscle ,,,
sa node cell to atrial cardiac muscle cell signaling,cardiac muscle ,,,
cardiac muscle cell action potential,cardiac muscle ,,,
negative regulation of membrane repolarization during cardiac muscle cell action potential,cardiac muscle ,,,
regulation of membrane repolarization during ventricular cardiac muscle cell action potential,cardiac muscle ,,,
positive regulation of ryanodine-sensitive calcium-release channel activity by adrenergic receptor signaling pathway involved in positive regulation of cardiac muscle contraction,cardiac muscle ,,,
cardiac muscle cell-cardiac muscle cell adhesion,cardiac muscle ,,,
post-embryonic cardiac muscle cell growth involved in heart morphogenesis,cardiac muscle ,,,
positive regulation of atrial cardiac muscle cell action potential,cardiac muscle ,,,
regulation of cardiac muscle hypertrophy in response to stress,cardiac muscle ,,,
atrial cardiac muscle cell development,cardiac muscle ,,,
negative regulation of ventricular cardiac muscle cell action potential,cardiac muscle ,,,
cardiac muscle tissue growth,cardiac muscle ,,,
regulation of cardiac muscle tissue development,cardiac muscle ,,,
regulation of cardiac muscle hypertrophy,cardiac muscle ,,,
negative regulation of membrane depolarization during cardiac muscle cell action potential,cardiac muscle ,,,
atrial cardiac muscle tissue development,cardiac muscle ,,,
planar cell polarity pathway involved in cardiac muscle tissue morphogenesis,cardiac muscle ,,,
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,cardiac muscle ,,,
positive regulation of canonical wnt signaling pathway involved in cardiac muscle cell fate commitment,cardiac muscle ,,,
cardiac muscle cell myoblast differentiation,cardiac muscle ,myoblast,,
atrial cardiac muscle cell to av node cell communication,cardiac muscle ,,,
sa node cell to atrial cardiac muscle cell communication,cardiac muscle ,,,
cardiac muscle cell contraction,cardiac muscle ,,,
negative regulation of cardiac muscle contraction,cardiac muscle ,,,
right ventricular cardiac muscle tissue morphogenesis,cardiac muscle ,,,
negative regulation of cardiac muscle tissue growth,cardiac muscle ,,,
regulation of membrane repolarization during atrial cardiac muscle cell action potential,cardiac muscle ,,,
regulation of membrane repolarization during cardiac muscle cell action potential,cardiac muscle ,,,
positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization,cardiac muscle ,,,
cardiac neuron differentiation,cardiac neuron,neuron,,
cardiocyte differentiation,cardiocyte,,,
positive regulation of cardiocyte differentiation,cardiocyte,,,
negative regulation of cardiocyte differentiation,cardiocyte,,,
cholangiocyte proliferation,cholangiocyte,,,
positive regulation of cholangiocyte proliferation,cholangiocyte,,,
negative regulation of cholangiocyte apoptotic process,cholangiocyte,,,
chondroblast differentiation,chondroblast,,,
adrenal chromaffin cell differentiation,chromaffin ,,,
de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,ciliated,ciliated epithelial ,epithelial,
multi-ciliated epithelial cell differentiation,ciliated,ciliated epithelial ,epithelial,
positive regulation of lung ciliated cell differentiation,ciliated,,,
negative regulation of lung ciliated cell differentiation,ciliated,,,
lung ciliated cell differentiation,ciliated,,,
club cell differentiation,club,,,
columnar/cuboidal epithelial cell development,columnar/cuboidal epithelial ,epithelial,,
positive regulation of connective tissue replacement,connective,,,
connective tissue development,connective,,,
positive regulation of connective tissue replacement involved in inflammatory response wound healing,connective,,,
connective tissue replacement involved in inflammatory response wound healing,connective,,,
connective tissue replacement,connective,,,
positive regulation of connective tissue growth factor production,connective,,,
negative regulation of connective tissue growth factor production,connective,,,
lung connective tissue development,connective,,,
negative regulation of connective tissue replacement involved in inflammatory response wound healing,connective,,,
myeloid dendritic cell differentiation,dendritic ,myeloid ,,
negative regulation of dendritic spine development,dendritic ,,,
negative regulation of dendritic spine morphogenesis,dendritic ,,,
negative regulation of dendritic cell chemotaxis,dendritic ,,,
myeloid dendritic cell activation involved in immune response,dendritic ,myeloid ,,
follicular dendritic cell activation,dendritic ,,,
negative regulation of dendritic cell antigen processing and presentation,dendritic ,,,
regulation of dendritic spine maintenance,dendritic ,,,
negative regulation of dendritic cell differentiation,dendritic ,,,
regulation of dendritic spine morphogenesis,dendritic ,,,
dendritic spine development,dendritic ,,,
negative regulation of myeloid dendritic cell activation,dendritic ,myeloid ,,
dendritic cell differentiation,dendritic ,,,
dendritic spine organization,dendritic ,,,
positive regulation of dendritic spine development,dendritic ,,,
regulation of dendritic spine development,dendritic ,,,
dendritic transport of messenger ribonucleoprotein complex,dendritic ,,,
anterograde dendritic transport of neurotransmitter receptor complex,dendritic ,,,
negative regulation of dendritic cell apoptotic process,dendritic ,,,
dendritic cell migration,dendritic ,,,
dendritic spine morphogenesis,dendritic ,,,
positive regulation of myeloid dendritic cell cytokine production,dendritic ,myeloid ,,
follicular dendritic cell differentiation,dendritic ,,,
positive regulation of dendritic spine maintenance,dendritic ,,,
positive regulation of dendritic spine morphogenesis,dendritic ,,,
dendritic spine maintenance,dendritic ,,,
axo-dendritic transport,dendritic ,,,
plasmacytoid dendritic cell activation,dendritic ,,,
plasmacytoid dendritic cell antigen processing and presentation,dendritic ,,,
positive regulation of myeloid dendritic cell activation,dendritic ,myeloid ,,
negative regulation of dendritic spine maintenance,dendritic ,,,
dendritic cell chemotaxis,dendritic ,,,
dendritic cell proliferation,dendritic ,,,
myeloid dendritic cell activation,dendritic ,myeloid ,,
positive regulation of dendritic cell differentiation,dendritic ,,,
dendritic cell homeostasis,dendritic ,,,
positive regulation of dendritic cell chemotaxis,dendritic ,,,
positive regulation of dendritic cell antigen processing and presentation,dendritic ,,,
positive regulation of dendritic cell cytokine production,dendritic ,,,
modification of dendritic spine,dendritic ,,,
positive regulation of dendritic cell apoptotic process,dendritic ,,,
anterograde dendritic transport,dendritic ,,,
mature conventional dendritic cell differentiation,dendritic ,,,
myeloid dendritic cell chemotaxis,dendritic ,myeloid ,,
regulation of dendritic cell dendrite assembly,dendritic ,,,
negative regulation of plasmacytoid dendritic cell cytokine production,dendritic ,,,
negative regulation of dendritic cell cytokine production,dendritic ,,,
regulation of myeloid dendritic cell activation,dendritic ,myeloid ,,
regulation of dendritic cell differentiation,dendritic ,,,
dendritic transport of mitochondrion,dendritic ,,,
anterograde dendritic transport of mitochondrion,dendritic ,,,
dendritic cell cytokine production,dendritic ,,,
regulation of dendritic cell cytokine production,dendritic ,,,
positive regulation of axo-dendritic protein transport,dendritic ,,,
dendritic cell dendrite assembly,dendritic ,,,
positive regulation of dendritic cell dendrite assembly,dendritic ,,,
positive regulation of myeloid dendritic cell chemotaxis,dendritic ,myeloid ,,
negative regulation of dendritic cell dendrite assembly,dendritic ,,,
intrahepatic bile duct development,duct ,,,
branching involved in mammary gland duct morphogenesis,duct ,,,
mammary duct terminal end bud growth,duct ,,,
nephric duct morphogenesis,duct ,,,
nephric duct formation,duct ,,,
metanephric collecting duct development,duct ,metanephric ,,
mullerian duct regression,duct ,,,
negative regulation of apoptotic process involved in metanephric collecting duct development,duct ,metanephric ,,
mammary gland duct morphogenesis,duct ,,,
mesonephric duct development,duct ,,,
tertiary branching involved in mammary gland duct morphogenesis,duct ,,,
regulation of branching involved in mammary gland duct morphogenesis,duct ,,,
bmp signaling pathway involved in nephric duct formation,duct ,,,
paramesonephric duct development,duct ,,,
oviduct epithelium development,duct ,,,
nephric duct elongation,duct ,,,
oviduct development,duct ,,,
nephric duct development,duct ,,,
mesonephric duct formation,duct ,,,
epithelial cell proliferation involved in mammary gland duct elongation,duct ,epithelial,,
collecting duct development,duct ,,,
common bile duct development,duct ,,,
